Frame Count,Start Time
98,2024-01-25 08:35:34.917
99,2024-01-25 08:35:34.932
100,2024-01-25 08:35:34.943
101,2024-01-25 08:35:34.957
102,2024-01-25 08:35:34.969
103,2024-01-25 08:35:34.985
104,2024-01-25 08:35:35.002
105,2024-01-25 08:35:35.014
106,2024-01-25 08:35:35.030
107,2024-01-25 08:35:35.044
108,2024-01-25 08:35:35.056
109,2024-01-25 08:35:35.074
110,2024-01-25 08:35:35.086
111,2024-01-25 08:35:35.102
112,2024-01-25 08:35:35.114
113,2024-01-25 08:35:35.128
114,2024-01-25 08:35:35.150
115,2024-01-25 08:35:35.165
116,2024-01-25 08:35:35.179
117,2024-01-25 08:35:35.192
118,2024-01-25 08:35:35.208
119,2024-01-25 08:35:35.221
120,2024-01-25 08:35:35.234
121,2024-01-25 08:35:35.247
122,2024-01-25 08:35:35.262
123,2024-01-25 08:35:35.275
124,2024-01-25 08:35:35.286
125,2024-01-25 08:35:35.299
126,2024-01-25 08:35:35.313
127,2024-01-25 08:35:35.328
128,2024-01-25 08:35:35.342
129,2024-01-25 08:35:35.354
130,2024-01-25 08:35:35.368
131,2024-01-25 08:35:35.389
132,2024-01-25 08:35:35.405
133,2024-01-25 08:35:35.426
134,2024-01-25 08:35:35.437
135,2024-01-25 08:35:35.449
136,2024-01-25 08:35:35.461
137,2024-01-25 08:35:35.474
138,2024-01-25 08:35:35.486
139,2024-01-25 08:35:35.505
140,2024-01-25 08:35:35.515
141,2024-01-25 08:35:35.529
142,2024-01-25 08:35:35.543
143,2024-01-25 08:35:35.555
144,2024-01-25 08:35:35.569
145,2024-01-25 08:35:35.580
146,2024-01-25 08:35:35.593
147,2024-01-25 08:35:35.606
148,2024-01-25 08:35:35.619
149,2024-01-25 08:35:35.634
150,2024-01-25 08:35:35.676
151,2024-01-25 08:35:35.687
152,2024-01-25 08:35:35.703
153,2024-01-25 08:35:35.714
154,2024-01-25 08:35:35.728
155,2024-01-25 08:35:35.742
156,2024-01-25 08:35:35.756
157,2024-01-25 08:35:35.767
158,2024-01-25 08:35:35.781
159,2024-01-25 08:35:35.808
160,2024-01-25 08:35:35.818
161,2024-01-25 08:35:35.836
162,2024-01-25 08:35:35.855
163,2024-01-25 08:35:35.874
164,2024-01-25 08:35:35.887
165,2024-01-25 08:35:35.905
166,2024-01-25 08:35:35.927
167,2024-01-25 08:35:35.940
168,2024-01-25 08:35:35.959
169,2024-01-25 08:35:35.974
170,2024-01-25 08:35:35.991
171,2024-01-25 08:35:36.006
172,2024-01-25 08:35:36.020
173,2024-01-25 08:35:36.037
174,2024-01-25 08:35:36.050
175,2024-01-25 08:35:36.062
176,2024-01-25 08:35:36.075
177,2024-01-25 08:35:36.087
178,2024-01-25 08:35:36.100
179,2024-01-25 08:35:36.113
180,2024-01-25 08:35:36.125
181,2024-01-25 08:35:36.137
182,2024-01-25 08:35:36.151
183,2024-01-25 08:35:36.164
184,2024-01-25 08:35:36.179
185,2024-01-25 08:35:36.191
186,2024-01-25 08:35:36.215
187,2024-01-25 08:35:36.228
188,2024-01-25 08:35:36.241
189,2024-01-25 08:35:36.251
190,2024-01-25 08:35:36.269
191,2024-01-25 08:35:36.283
192,2024-01-25 08:35:36.293
193,2024-01-25 08:35:36.304
194,2024-01-25 08:35:36.319
195,2024-01-25 08:35:36.332
196,2024-01-25 08:35:36.347
197,2024-01-25 08:35:36.359
198,2024-01-25 08:35:36.374
199,2024-01-25 08:35:36.386
200,2024-01-25 08:35:36.402
201,2024-01-25 08:35:36.415
202,2024-01-25 08:35:36.429
203,2024-01-25 08:35:36.440
204,2024-01-25 08:35:36.461
205,2024-01-25 08:35:36.475
206,2024-01-25 08:35:36.494
207,2024-01-25 08:35:36.509
208,2024-01-25 08:35:36.518
209,2024-01-25 08:35:36.533
210,2024-01-25 08:35:36.546
211,2024-01-25 08:35:36.555
212,2024-01-25 08:35:36.573
213,2024-01-25 08:35:36.585
214,2024-01-25 08:35:36.596
215,2024-01-25 08:35:36.611
216,2024-01-25 08:35:36.622
217,2024-01-25 08:35:36.639
218,2024-01-25 08:35:36.650
